Train epoch 0, loss: 2.940215, MAE: 7.181322, GCC-MAE: 7.486875, ACC: 0.559197, GCC-ACC: 0.544926

Val epoch 0, loss: 2.884162, MAE: 6.889122, GCC MAE: 9.349649, ACC: 0.558511, GCC ACC: 0.526596

Train epoch 1, loss: 2.787211, MAE: 6.788748, GCC-MAE: 7.788082, ACC: 0.570296, GCC-ACC: 0.530655

Val epoch 1, loss: 2.742727, MAE: 6.311578, GCC MAE: 7.847068, ACC: 0.606383, GCC ACC: 0.526596

Train epoch 2, loss: 2.786114, MAE: 6.864980, GCC-MAE: 7.763416, ACC: 0.576110, GCC-ACC: 0.542812

Val epoch 2, loss: 2.783464, MAE: 6.974626, GCC MAE: 8.069162, ACC: 0.579787, GCC ACC: 0.547872

Train epoch 3, loss: 2.728366, MAE: 6.782053, GCC-MAE: 7.530729, ACC: 0.594080, GCC-ACC: 0.545983

Val epoch 3, loss: 2.793950, MAE: 7.060416, GCC MAE: 7.868888, ACC: 0.595745, GCC ACC: 0.515957

Train epoch 4, loss: 2.702268, MAE: 6.665494, GCC-MAE: 7.758763, ACC: 0.593552, GCC-ACC: 0.538055

Val epoch 4, loss: 2.785724, MAE: 6.022076, GCC MAE: 7.304094, ACC: 0.622340, GCC ACC: 0.558511

Train epoch 5, loss: 2.686963, MAE: 6.533638, GCC-MAE: 7.522538, ACC: 0.600951, GCC-ACC: 0.542812

Val epoch 5, loss: 2.883787, MAE: 6.642621, GCC MAE: 7.626397, ACC: 0.601064, GCC ACC: 0.585106

Train epoch 6, loss: 2.717674, MAE: 6.909814, GCC-MAE: 8.070430, ACC: 0.580867, GCC-ACC: 0.519027

Val epoch 6, loss: 2.704891, MAE: 6.972696, GCC MAE: 8.151320, ACC: 0.585106, GCC ACC: 0.569149

Train epoch 7, loss: 2.644675, MAE: 7.133255, GCC-MAE: 7.937805, ACC: 0.599894, GCC-ACC: 0.540698

Val epoch 7, loss: 2.541397, MAE: 6.568586, GCC MAE: 8.323135, ACC: 0.627660, GCC ACC: 0.547872

Train epoch 8, loss: 2.643423, MAE: 6.726465, GCC-MAE: 7.733125, ACC: 0.608351, GCC-ACC: 0.537526

Val epoch 8, loss: 2.526285, MAE: 5.720998, GCC MAE: 7.081119, ACC: 0.622340, GCC ACC: 0.601064

Train epoch 9, loss: 2.674665, MAE: 6.774623, GCC-MAE: 7.598134, ACC: 0.613108, GCC-ACC: 0.544926

Val epoch 9, loss: 2.556621, MAE: 6.677650, GCC MAE: 7.194186, ACC: 0.595745, GCC ACC: 0.611702

Train epoch 10, loss: 2.616363, MAE: 6.510004, GCC-MAE: 7.530625, ACC: 0.613108, GCC-ACC: 0.544397

Val epoch 10, loss: 2.607125, MAE: 6.551370, GCC MAE: 7.197229, ACC: 0.622340, GCC ACC: 0.622340

Train epoch 11, loss: 2.665833, MAE: 7.170951, GCC-MAE: 7.672150, ACC: 0.592495, GCC-ACC: 0.555497

Val epoch 11, loss: 2.852714, MAE: 7.226460, GCC MAE: 6.524045, ACC: 0.558511, GCC ACC: 0.590425

Train epoch 12, loss: 2.574891, MAE: 6.466700, GCC-MAE: 7.532702, ACC: 0.618393, GCC-ACC: 0.545983

Val epoch 12, loss: 2.669662, MAE: 7.141157, GCC MAE: 7.917722, ACC: 0.574468, GCC ACC: 0.569149

Train epoch 13, loss: 2.553060, MAE: 6.785158, GCC-MAE: 7.660157, ACC: 0.604123, GCC-ACC: 0.547569
